hasNeighbor	2	0	0	0	0	4.25	100.0	0.0	0.265	0	0	0	0	8.25	50.0	0.0	0.285	0	0	0	0	9.25	50.0	0.0	0.281	0	0	0	0	2.25	100.0	25.0	0.563	0	0	0	0	1.75	100.0	25.0	0.625	0	0	0	0	1.5	100.0	50.0	0.75	1.75	100.0	75.0	0.813	1.0	100.0	100.0	1.0
hasOfficialLanguage	2	0	0	0	0	3.5	100.0	25.0	0.425	0	0	0	0	22.75	50.0	25.0	0.315	0	0	0	0	13.5	50.0	25.0	0.321	0	0	0	0	45.5	50.0	50.0	0.515	0	0	0	0	12.5	75.0	50.0	0.548	0	0	0	0	6.0	75.0	50.0	0.596	14.0	50.0	0.0	0.185	10.5	75.0	25.0	0.321
hasWebsite	1	0	0	0	0	74.5	50.0	50.0	0.503	0	0	0	0	76.5	50.0	50.0	0.503	0	0	0	0	67.5	50.0	50.0	0.504	0	0	0	0	28.5	50.0	50.0	0.509	0	0	0	0	117.5	0.0	0.0	0.009	0	0	0	0	93.0	50.0	0.0	0.253	7.5	50.0	50.0	0.536	7.5	50.0	50.0	0.536
hasWonPrize	111	0	0	0	0	1672.51	41.89	14.86	0.236	0	0	0	0	694.77	45.5	19.37	0.286	0	0	0	0	918.61	47.3	18.92	0.285	0	0	0	0	1303.2	44.14	15.77	0.249	0	0	0	0	2402.62	45.95	17.57	0.274	0	0	0	0	5233.79	43.69	18.02	0.267	61450.02	5.41	0.45	0.021	61431.06	5.41	0.9	0.023
influences	47	0	0	0	0	1321.12	22.34	0.0	0.079	0	0	0	0	3085.07	21.28	1.06	0.076	0	0	0	0	3826.67	31.91	4.26	0.138	0	0	0	0	1663.76	23.4	4.26	0.094	0	0	0	0	2209.62	26.6	6.38	0.125	0	0	0	0	1616.09	28.72	6.38	0.135	61602.82	4.26	3.19	0.035	61597.3	4.26	3.19	0.035
isAffiliatedTo	1673	0	0	0	0	182.74	82.22	64.32	0.708	0	0	0	0	346.64	77.88	51.73	0.607	0	0	0	0	427.51	78.57	52.78	0.617	0	0	0	0	392.81	83.02	64.94	0.715	0	0	0	0	211.87	79.14	56.37	0.643	0	0	0	0	854.71	77.05	52.96	0.615	15829.68	75.25	74.36	0.748	15823.79	75.25	75.1	0.752
isCitizenOf	15	0	0	0	0	780.3	46.67	23.33	0.306	0	0	0	0	2244.0	40.0	23.33	0.286	0	0	0	0	427.57	36.67	26.67	0.31	0	0	0	0	1156.77	43.33	20.0	0.27	0	0	0	0	1295.63	50.0	16.67	0.269	0	0	0	0	3685.37	50.0	26.67	0.331	26643.73	20.0	16.67	0.18	26639.63	23.33	16.67	0.181
isConnectedTo	150	0	0	0	0	63.53	61.67	0.0	0.197	0	0	0	0	455.23	62.0	9.0	0.251	0	0	0	0	452.93	65.33	13.33	0.304	0	0	0	0	64.45	73.33	29.33	0.444	0	0	0	0	118.96	74.0	31.0	0.455	0	0	0	0	107.74	70.67	20.0	0.366	20592.37	66.0	61.67	0.638	20584.43	66.0	65.33	0.657
isInterestedIn	2	0	0	0	0	11.0	50.0	25.0	0.361	0	0	0	0	10.25	50.0	25.0	0.407	0	0	0	0	9.0	75.0	25.0	0.446	0	0	0	0	3.25	100.0	50.0	0.615	0	0	0	0	3.0	100.0	75.0	0.778	0	0	0	0	3.25	100.0	75.0	0.775	17.0	50.0	25.0	0.391	9.0	50.0	50.0	0.53
isLeaderOf	4	0	0	0	0	9358.5	25.0	0.0	0.049	0	0	0	0	21792.25	12.5	0.0	0.019	0	0	0	0	12396.88	25.0	0.0	0.041	0	0	0	0	5852.38	25.0	0.0	0.077	0	0	0	0	66835.63	12.5	0.0	0.03	0	0	0	0	31932.63	25.0	0.0	0.095	69762.88	0.0	0.0	0.0	69762.75	0.0	0.0	0.0
isLocatedIn	411	0	0	0	0	4330.33	43.92	0.0	0.16	0	0	0	0	2842.44	48.05	17.15	0.274	0	0	0	0	2405.83	50.61	18.98	0.296	0	0	0	0	2309.54	48.05	25.43	0.334	0	0	0	0	7783.84	42.7	19.46	0.272	0	0	0	0	2912.91	52.31	25.43	0.351	48092.48	13.75	2.8	0.057	48010.84	17.03	3.89	0.077
isMarriedTo	17	0	0	0	0	8.53	82.35	0.0	0.317	0	0	0	0	2.71	97.06	38.24	0.643	0	0	0	0	1.85	100.0	47.06	0.709	0	0	0	0	1.09	100.0	91.18	0.956	0	0	0	0	1.03	100.0	97.06	0.985	0	0	0	0	1.03	100.0	97.06	0.985	1.03	100.0	97.06	0.985	1.0	100.0	100.0	1.0
isPoliticianOf	10	0	0	0	0	53.5	80.0	45.0	0.532	0	0	0	0	13.1	85.0	55.0	0.687	0	0	0	0	59.5	85.0	70.0	0.757	0	0	0	0	52.0	55.0	30.0	0.376	0	0	0	0	98.6	50.0	20.0	0.303	0	0	0	0	6.4	90.0	60.0	0.728	22850.25	45.0	15.0	0.207	22849.25	45.0	30.0	0.33
livesIn	11	0	0	0	0	805.82	31.82	9.09	0.17	0	0	0	0	2478.18	36.36	13.64	0.244	0	0	0	0	3800.73	36.36	13.64	0.227	0	0	0	0	8351.5	27.27	4.55	0.134	0	0	0	0	4623.23	31.82	9.09	0.164	0	0	0	0	427.05	36.36	13.64	0.249	29223.82	27.27	13.64	0.169	29222.77	27.27	13.64	0.178
owns	5	0	0	0	0	930.9	30.0	0.0	0.105	0	0	0	0	19993.7	30.0	20.0	0.226	0	0	0	0	10013.2	50.0	20.0	0.258	0	0	0	0	424.3	40.0	10.0	0.16	0	0	0	0	6375.9	50.0	20.0	0.306	0	0	0	0	264.5	50.0	20.0	0.31	40467.4	10.0	0.0	0.033	40466.9	10.0	0.0	0.05
participatedIn	19	0	0	0	0	3479.74	60.53	23.68	0.348	0	0	0	0	2028.53	52.63	13.16	0.247	0	0	0	0	3098.87	50.0	23.68	0.312	0	0	0	0	2047.53	47.37	23.68	0.32	0	0	0	0	5024.39	55.26	23.68	0.35	0	0	0	0	1343.16	63.16	18.42	0.316	29842.13	52.63	28.95	0.355	29837.5	52.63	36.84	0.418
playsFor	1492	0	0	0	0	139.5	82.61	47.65	0.605	0	0	0	0	438.24	81.57	40.52	0.547	0	0	0	0	408.25	82.34	42.73	0.565	0	0	0	0	425.33	83.68	52.82	0.639	0	0	0	0	241.51	83.18	43.77	0.577	0	0	0	0	582.04	80.86	48.36	0.598	7324.87	87.53	86.8	0.872	7324.08	87.53	87.43	0.875
wasBornIn	210	0	0	0	0	5911.22	28.81	6.9	0.148	0	0	0	0	10079.37	29.29	10.48	0.169	0	0	0	0	11948.5	27.14	10.71	0.16	0	0	0	0	8188.45	25.24	8.81	0.143	0	0	0	0	7418.25	32.14	13.81	0.203	0	0	0	0	16536.61	23.33	9.05	0.14	53586.78	3.33	1.9	0.022	53563.81	3.33	1.9	0.022
worksAt	15	0	0	0	0	1110.77	56.67	26.67	0.37	0	0	0	0	239.6	43.33	20.0	0.272	0	0	0	0	197.0	56.67	30.0	0.354	0	0	0	0	2589.33	53.33	33.33	0.395	0	0	0	0	929.7	56.67	23.33	0.337	0	0	0	0	1956.0	50.0	26.67	0.347	38972.03	50.0	26.67	0.334	38968.6	50.0	26.67	0.341
wroteMusicFor	32	0	0	0	0	968.41	34.38	12.5	0.192	0	0	0	0	725.94	25.0	10.94	0.157	0	0	0	0	2269.61	31.25	12.5	0.2	0	0	0	0	2758.39	31.25	20.31	0.232	0	0	0	0	898.19	35.94	18.75	0.237	0	0	0	0	2352.47	28.13	15.63	0.204	63766.75	6.25	6.25	0.063	63763.0	6.25	6.25	0.063
