Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/film/film/prequel	18	37.28	58.33	0.0	17.93	37.11	58.33	0.0	18.2
/film/film/country	131	429.08	43.51	19.08	26.98	172.72	45.8	22.14	30.35
/base/aareas/schema/administrative_area/administrative_area_type	20	49.73	50.0	50.0	50.71	3.08	97.5	52.5	66.82
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	117.79	14.48	1.49	6.35	27.86	59.26	19.59	32.57
/music/genre/artists	664	159.65	23.57	2.71	9.43	120.9	30.95	8.43	16.27
/location/location/time_zones	137	296.93	50.0	28.83	36.81	158.98	55.11	30.29	39.48
/people/ethnicity/people	251	600.74	32.67	10.36	17.48	543.65	36.25	11.95	19.25
/tv/tv_program/languages	24	77.85	47.92	39.58	42.51	5.81	87.5	64.58	71.87
/dataworld/gardening_hint/split_to	10	1969.6	70.0	50.0	58.51	1969.6	70.0	50.0	58.51
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	16.72	53.13	21.88	35.71	1.0	100.0	100.0	100.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	135.74	20.92	2.33	8.54	94.52	36.36	7.11	16.49
/tv/tv_network/programs./tv/tv_network_duration/program	26	102.71	21.15	3.85	11.68	95.98	25.0	3.85	11.87
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	41.49	53.95	10.53	28.16	11.29	82.89	53.95	63.88
/people/deceased_person/place_of_burial	9	163.89	38.89	16.67	24.6	154.17	38.89	16.67	24.63
/olympics/olympic_games/participating_countries	23	44.43	50.0	15.22	25.71	16.96	60.87	19.57	34.78
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	1234.17	22.22	5.56	12.29	1229.17	22.22	5.56	13.2
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	296.44	19.35	3.23	7.93	290.92	19.35	3.23	8.82
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	78.08	23.13	0.0	7.57	68.34	48.36	0.0	15.41
/location/administrative_division/country	3	239.83	50.0	16.67	25.86	213.67	50.0	16.67	26.08
/music/artist/contribution./music/recording_contribution/performance_role	14	182.04	32.14	14.29	19.82	174.21	32.14	17.86	22.24
/medicine/disease/notable_people_with_this_condition	15	1146.67	23.33	6.67	14.49	1140.5	23.33	10.0	16.18
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	26.21	49.21	3.17	15.79	11.27	71.43	25.4	40.33
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	118.25	12.5	3.13	7.83	115.41	12.5	3.13	8.05
/government/politician/government_positions_held./government/government_position_held/basic_title	16	22.09	50.0	9.38	24.61	16.0	59.38	15.63	34.91
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	7.83	83.33	0.0	15.62	2.67	100.0	0.0	40.28
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	26.75	50.0	0.0	9.62	8.5	75.0	0.0	15.59
/tv/tv_program/country_of_origin	32	99.69	48.44	31.25	37.37	29.7	62.5	37.5	44.7
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	147.67	51.32	22.37	32.87	112.49	55.26	34.21	41.61
/people/person/gender	436	1552.78	49.2	35.44	41.99	238.39	53.56	36.01	43.91
/film/actor/film./film/performance/special_performance_type	16	778.06	50.0	18.75	33.99	724.06	50.0	21.88	35.61
/education/educational_institution_campus/educational_institution	13	1.0	100.0	100.0	100.0	1.0	100.0	100.0	100.0
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	27	296.37	50.0	31.48	38.46	272.8	51.85	35.19	42.04
/music/record_label/artist	266	266.21	18.98	3.38	8.39	245.81	21.24	3.95	9.62
