Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/film/film/prequel	18	196.67	27.78	0.0	7.87	196.5	27.78	0.0	8.0
/film/film/country	131	568.84	31.68	9.16	16.2	251.46	34.73	11.83	19.42
/base/aareas/schema/administrative_area/administrative_area_type	20	83.85	50.0	50.0	50.32	2.15	97.5	57.5	74.63
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	174.1	3.8	0.83	3.08	36.03	42.57	6.22	16.98
/music/genre/artists	664	257.38	12.65	0.83	4.79	201.68	29.22	7.45	14.57
/location/location/time_zones	137	556.5	45.62	29.2	35.49	405.01	49.27	30.29	37.45
/people/ethnicity/people	251	902.12	22.51	4.98	10.83	834.74	24.7	7.37	13.24
/tv/tv_program/languages	24	123.33	50.0	41.67	45.37	7.6	89.58	47.92	60.36
/dataworld/gardening_hint/split_to	10	3295.4	30.0	30.0	30.05	3295.35	30.0	30.0	30.05
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	18.13	56.25	9.38	26.98	1.0	100.0	100.0	100.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	192.89	12.59	0.41	4.51	133.35	34.09	7.28	15.62
/tv/tv_network/programs./tv/tv_network_duration/program	26	617.37	25.0	3.85	10.62	609.13	25.0	3.85	12.11
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	41.88	55.26	11.84	29.53	6.8	86.84	64.47	72.07
/people/deceased_person/place_of_burial	9	245.22	38.89	16.67	23.93	235.33	38.89	16.67	24.01
/olympics/olympic_games/participating_countries	23	51.24	47.83	8.7	21.49	16.2	60.87	21.74	35.51
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	910.5	5.56	0.0	1.64	902.83	5.56	0.0	2.78
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	798.48	4.84	0.0	2.03	791.1	8.06	0.0	2.65
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	112.8	17.52	0.93	6.79	100.4	65.65	2.34	18.07
/location/administrative_division/country	3	671.67	33.33	16.67	20.93	645.17	33.33	16.67	20.95
/music/artist/contribution./music/recording_contribution/performance_role	14	296.86	28.57	0.0	8.92	286.11	28.57	0.0	10.49
/medicine/disease/notable_people_with_this_condition	15	987.5	23.33	3.33	9.51	980.77	23.33	3.33	9.52
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	30.3	39.68	4.76	13.4	10.1	73.02	23.02	37.86
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	346.41	31.25	9.38	16.33	343.16	34.38	15.63	21.75
/government/politician/government_positions_held./government/government_position_held/basic_title	16	35.63	46.88	9.38	20.66	25.0	53.13	18.75	28.47
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	7.33	100.0	0.0	18.89	1.83	100.0	33.33	63.89
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	25.5	50.0	0.0	19.79	7.25	50.0	25.0	41.44
/tv/tv_program/country_of_origin	32	229.41	45.31	32.81	37.58	142.13	54.69	34.38	42.3
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	120.01	44.74	17.11	28.0	73.87	56.58	39.47	45.21
/people/person/gender	436	1506.71	49.31	38.88	43.93	167.43	54.01	39.79	46.13
/film/actor/film./film/performance/special_performance_type	16	874.94	31.25	9.38	17.07	819.38	31.25	9.38	17.14
/education/educational_institution_campus/educational_institution	13	1.15	100.0	92.31	94.87	1.15	100.0	92.31	94.87
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	27	631.17	38.89	25.93	31.2	602.57	38.89	25.93	31.43
/music/record_label/artist	266	585.6	8.65	0.19	3.19	557.39	13.16	1.5	5.51
/award/award_nominee/award_nominations./award/award_nomination/award	1067	263.37	14.85	1.08	5.67	220.68	28.58	5.58	13.13
/base/aareas/schema/administrative_area/administrative_parent	25	589.26	42.0	28.0	32.03	524.58	72.0	28.0	42.15
/tv/tv_program/program_creator	2	1323.75	0.0	0.0	1.08	1323.75	0.0	0.0	1.08
/music/performance_role/regular_performances./music/group_membership/group	167	69.24	24.85	1.8	7.2	25.16	52.99	12.57	24.74
/people/ethnicity/geographic_distribution	17	253.24	44.12	11.76	22.68	246.91	47.06	20.59	31.37
/music/performance_role/track_performances./music/track_contribution/role	53	58.3	5.66	1.89	5.26	20.46	33.02	6.6	15.09
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person	7	228.07	50.0	28.57	37.78	211.43	50.0	35.71	41.45
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	58.83	50.0	16.67	26.76	20.74	61.9	30.95	43.15
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	62.4	10.0	0.0	7.24	51.4	90.0	5.0	32.19
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed	21	22.55	52.38	0.0	13.76	1.5	100.0	71.43	83.02
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	51.97	53.13	0.0	11.23	47.69	71.88	3.13	27.36
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school	42	56.65	27.38	0.0	9.46	47.98	45.24	3.57	16.43
/tv/tv_program/genre	94	109.35	29.26	0.0	7.53	85.63	46.81	9.57	21.29
/film/film/film_festivals	18	594.31	30.56	5.56	10.9	586.28	33.33	8.33	13.28
/location/location/contains	330	1126.87	9.24	0.3	3.17	1017.62	13.64	1.67	5.5
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	84	489.72	50.0	50.0	50.05	51.7	66.07	51.79	56.42
/sports/sports_league/teams./sports/sports_league_participation/team	16	60.44	56.25	31.25	42.01	48.69	68.75	46.88	55.66
/people/person/spouse_s./people/marriage/spouse	4	1523.88	0.0	0.0	0.2	1523.63	0.0	0.0	0.2
/film/film/distributors./film/film_film_distributor_relationship/region	10	132.65	50.0	45.0	47.76	65.6	60.0	45.0	50.09
/film/film/other_crew./film/film_crew_gig/crewmember	26	832.21	19.23	3.85	8.02	824.81	21.15	5.77	9.77
/organization/organization/headquarters./location/mailing_address/state_province_region	39	1115.23	19.23	3.85	8.48	1089.54	19.23	3.85	8.66
/education/field_of_study/students_majoring./education/education/major_field_of_study	11	87.14	9.09	0.0	3.78	78.77	9.09	0.0	5.33
/base/locations/continents/countries_within	5	28.4	50.0	30.0	41.14	12.7	80.0	40.0	57.86
/award/award_winning_work/awards_won./award/award_honor/award	118	152.5	20.34	2.12	7.49	138.07	30.51	8.9	15.31
/organization/organization/child./organization/organization_relationship/child	20	1167.67	5.0	0.0	1.88	1165.75	5.0	0.0	2.56
/film/film/genre	722	425.87	19.25	0.14	4.92	247.41	30.19	4.99	12.44
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	31	64.52	32.26	9.68	16.44	17.84	54.84	17.74	27.34
/people/person/place_of_birth	170	2736.64	2.35	0.29	1.14	2716.19	2.35	0.59	1.35
/language/human_language/countries_spoken_in	25	53.84	32.0	6.0	12.68	46.28	40.0	6.0	16.8
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	713.0	0.0	0.0	0.14	710.5	0.0	0.0	0.15
/education/educational_institution/campuses	13	1.15	100.0	92.31	94.87	1.15	100.0	92.31	94.87
/base/culturalevent/event/entity_involved	20	2030.88	15.0	0.0	4.43	2028.03	20.0	2.5	9.33
/award/award_category/winners./award/award_honor/award_winner	217	571.26	15.9	0.92	6.43	556.12	26.04	4.84	11.68
/organization/organization/headquarters./location/mailing_address/country	7	719.43	42.86	42.86	42.98	640.21	42.86	42.86	43.6
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency	5	287.8	50.0	40.0	42.66	172.4	50.0	40.0	42.9
/olympics/olympic_games/sports	13	17.35	11.54	0.0	6.52	2.96	100.0	26.92	51.15
/sports/sports_team/sport	53	250.96	49.06	48.11	49.27	154.08	74.53	60.38	66.09
/people/profession/specialization_of	13	3139.65	7.69	3.85	4.69	3136.92	7.69	3.85	4.7
/award/award_category/winners./award/award_honor/ceremony	323	31.77	20.12	2.01	8.88	3.03	95.36	54.33	68.81
/music/instrument/instrumentalists	153	219.22	16.34	1.31	6.22	151.76	24.18	5.56	11.77
/medicine/disease/risk_factors	13	37.85	34.62	0.0	9.21	30.38	46.15	0.0	17.61
/award/award_winning_work/awards_won./award/award_honor/award_winner	24	1333.69	16.67	4.17	8.19	1331.08	25.0	4.17	9.5
/sports/sports_team/colors	77	311.33	38.31	1.3	11.02	248.07	42.86	7.14	17.14
/music/performance_role/guest_performances./music/recording_contribution/performance_role	2	177.0	0.0	0.0	0.76	172.75	0.0	0.0	0.78
/award/ranked_item/appears_in_ranked_lists./award/ranking/list	48	84.21	48.96	27.08	36.71	46.53	70.83	46.88	54.33
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency	3	217.83	50.0	50.0	50.13	103.0	50.0	50.0	50.25
/education/educational_degree/people_with_this_degree./education/education/institution	287	192.93	25.96	1.74	8.28	79.51	51.92	11.85	23.68
/film/film/costume_design_by	13	1394.27	19.23	7.69	11.98	1387.92	23.08	7.69	12.58
/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type	11	84.09	50.0	50.0	50.32	17.64	68.18	54.55	58.02
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance	3	481.33	50.0	50.0	50.17	461.17	50.0	50.0	50.22
/film/film/written_by	26	1928.25	3.85	1.92	2.95	1926.9	3.85	1.92	2.96
/location/statistical_region/religions./location/religion_percentage/religion	60	92.46	20.83	1.67	8.11	72.31	75.0	20.0	38.73
/government/governmental_body/members./government/government_position_held/legislative_sessions	12	20.88	58.33	16.67	36.65	1.0	100.0	100.0	100.0
/education/university/fraternities_and_sororities	21	71.38	50.0	21.43	34.18	39.02	54.76	30.95	43.4
/soccer/football_team/current_roster./soccer/football_roster_position/position	10	333.75	50.0	0.0	12.74	50.4	50.0	35.0	43.08
/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation	20	28.13	50.0	2.5	22.67	3.17	90.0	62.5	71.16
/film/film/dubbing_performances./film/dubbing_performance/actor	8	136.06	12.5	0.0	8.07	131.69	37.5	6.25	14.21
/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	17	27.32	8.82	0.0	4.79	10.68	70.59	5.88	21.0
/film/actor/film./film/performance/film	836	1425.76	1.85	0.06	1.06	1418.23	3.83	0.72	2.08
/food/food/nutrients./food/nutrition_fact/nutrient	105	29.43	11.9	0.0	5.85	2.22	97.62	59.52	73.4
/people/ethnicity/languages_spoken	29	127.48	44.83	3.45	13.82	121.57	50.0	12.07	24.77
/user/jg/default_domain/olympic_games/sports	11	20.14	9.09	0.0	5.75	5.32	100.0	0.0	23.74
/education/field_of_study/students_majoring./education/education/student	34	1260.57	11.76	0.0	3.52	1255.34	14.71	1.47	4.82
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	91	228.19	44.51	5.49	19.6	186.06	57.69	30.22	40.09
/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position	4	20.88	50.0	0.0	21.1	2.75	100.0	37.5	58.45
/film/film/personal_appearances./film/personal_film_appearance/person	11	791.64	18.18	9.09	12.99	789.23	27.27	13.64	18.36
/film/film/estimated_budget./measurement_unit/dated_money_value/currency	151	703.86	49.67	39.4	43.91	83.37	52.65	39.4	45.5
/people/person/profession	1311	839.9	28.95	2.4	9.55	398.23	37.87	11.21	19.82
/time/event/locations	34	543.37	22.06	1.47	6.68	538.56	36.76	4.41	12.43
/music/instrument/family	6	728.75	16.67	0.0	10.2	725.08	16.67	0.0	10.41
/location/location/adjoin_s./location/adjoining_relationship/adjoins	55	446.24	16.36	0.0	5.59	443.5	21.82	3.64	9.96
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue	20	779.75	22.5	0.0	8.43	765.75	30.0	7.5	15.12
/base/biblioness/bibs_location/country	14	737.75	42.86	14.29	25.16	649.36	42.86	14.29	25.22
