176.18	47.5	35.0	0.417	165.95	72.5	52.5	0.606
146.17	36.67	6.67	0.138	135.33	53.33	10.0	0.227
131.88	24.36	3.21	0.098	88.34	42.89	9.21	0.198
560.36	27.88	6.22	0.132	548.27	35.48	9.22	0.172
26.16	32.97	4.33	0.133	4.05	94.89	43.96	0.617
236.92	26.5	3.47	0.108	224.09	28.71	5.52	0.132
337.69	19.01	2.07	0.074	331.95	21.49	3.31	0.095
53.44	56.25	0.0	0.124	49.47	81.25	0.0	0.257
182.93	26.48	4.92	0.117	150.31	40.49	9.33	0.191
32.56	38.55	0.0	0.098	22.45	78.04	0.23	0.246
742.6	26.52	4.55	0.105	736.64	34.47	11.74	0.191
220.3	41.46	0.0	0.101	214.84	67.07	0.0	0.213
154.1	27.12	4.66	0.11	142.92	33.9	6.36	0.145
145.6	35.42	4.17	0.146	143.5	43.75	10.42	0.211
16.25	30.0	0.0	0.096	8.25	90.0	0.0	0.303
1433.22	29.63	11.11	0.191	1405.57	29.63	11.11	0.192
101.74	48.96	9.38	0.268	68.61	48.96	22.92	0.358
48.0	57.5	50.0	0.531	3.45	92.5	55.0	0.649
84.96	44.0	12.0	0.267	37.4	86.0	20.0	0.411
544.19	18.75	6.25	0.085	514.81	18.75	6.25	0.086
319.86	46.43	17.86	0.287	231.71	46.43	17.86	0.287
20.43	57.14	28.57	0.409	13.0	64.29	28.57	0.43
3243.97	12.5	0.0	0.049	3241.35	17.5	2.5	0.078
1087.41	45.45	4.55	0.113	1056.73	45.45	4.55	0.117
8.0	83.33	0.0	0.131	2.5	100.0	16.67	0.5
31.7	50.0	20.0	0.31	16.0	50.0	20.0	0.328
14.54	34.15	6.1	0.157	4.74	92.68	21.95	0.396
18.93	52.38	2.38	0.176	3.98	100.0	47.62	0.562
1317.0	0.0	0.0	0.001	1317.0	0.0	0.0	0.001
1061.36	0.0	0.0	0.012	1059.32	0.0	0.0	0.013
1894.94	6.25	0.0	0.022	1891.81	6.25	0.0	0.028
785.55	9.68	0.0	0.027	778.06	11.29	0.0	0.033
9.67	33.33	0.0	0.125	4.0	100.0	0.0	0.274
61.85	47.5	20.0	0.301	36.98	60.0	25.0	0.375
57.74	42.86	26.19	0.335	29.26	57.14	33.33	0.412
76.41	27.63	1.32	0.098	58.63	36.84	5.26	0.143
738.1	50.83	0.0	0.187	587.68	50.83	0.0	0.187
146.1	17.24	0.0	0.046	141.28	20.69	0.0	0.054
10.07	66.67	9.26	0.25	1.61	100.0	77.78	0.847
100.68	50.0	25.0	0.326	82.57	53.57	28.57	0.35
1057.39	26.83	9.76	0.167	1042.95	29.27	14.63	0.203
108.5	50.0	50.0	0.502	49.5	50.0	50.0	0.505
1138.37	30.59	1.18	0.088	1119.38	35.29	7.65	0.167
25.0	50.0	0.0	0.063	22.5	50.0	0.0	0.064
3578.59	50.0	50.0	0.5	2498.18	50.0	50.0	0.5
2923.7	50.0	35.0	0.418	2923.65	50.0	35.0	0.426
137.4	42.86	9.41	0.199	69.23	53.14	25.44	0.345
26.62	42.86	4.76	0.152	11.66	68.25	19.05	0.335
297.11	38.89	14.81	0.227	267.41	38.89	16.67	0.24
1.58	100.0	76.92	0.858	1.58	100.0	76.92	0.858
277.81	30.56	5.0	0.131	240.83	30.56	8.33	0.163
144.94	45.63	10.0	0.222	91.09	47.5	11.88	0.245
166.74	16.82	1.4	0.068	138.47	27.73	3.74	0.117
1049.48	6.43	1.13	0.035	1038.2	7.23	2.09	0.044
1.62	100.0	69.23	0.821	1.62	100.0	69.23	0.821
35.18	31.82	0.0	0.079	29.95	36.36	0.0	0.098
380.22	14.71	0.0	0.042	375.28	14.71	0.0	0.051
125.6	50.0	50.0	0.504	59.1	50.0	50.0	0.513
61.67	57.14	21.43	0.363	44.26	59.52	26.19	0.406
135.0	50.0	50.0	0.502	40.5	50.0	50.0	0.506
734.13	50.0	20.83	0.309	672.67	50.0	20.83	0.309
1534.35	5.92	0.48	0.025	1526.96	10.05	2.21	0.049
1210.25	3.13	0.0	0.034	1154.97	3.13	3.13	0.05
889.76	21.05	2.63	0.083	886.55	23.68	2.63	0.115
790.94	11.76	0.0	0.038	786.18	11.76	0.0	0.038
147.0	23.08	11.54	0.163	141.19	26.92	11.54	0.169
528.5	44.27	18.7	0.271	265.69	45.8	26.34	0.323
301.3	47.37	6.58	0.182	265.59	47.37	9.21	0.212
530.75	50.0	10.0	0.196	463.15	50.0	10.0	0.196
525.88	50.0	6.25	0.184	522.38	62.5	12.5	0.261
541.04	7.69	0.0	0.038	534.85	11.54	0.0	0.042
495.67	50.0	48.34	0.489	128.7	50.66	48.34	0.492
601.94	19.18	0.68	0.077	594.32	28.08	3.42	0.109
1232.66	8.0	0.0	0.024	1207.62	9.0	0.0	0.028
15.0	50.0	0.0	0.22	10.0	50.0	0.0	0.232
478.28	16.67	8.33	0.123	470.67	16.67	11.11	0.137
363.68	51.28	16.67	0.31	314.42	51.28	16.67	0.312
278.9	15.0	0.0	0.079	275.05	25.0	0.0	0.084
297.83	31.02	6.09	0.135	166.97	38.85	12.47	0.209
578.51	43.63	28.34	0.334	181.11	47.29	32.17	0.377
926.39	16.3	1.63	0.06	920.42	16.3	2.17	0.066
332.19	21.15	7.69	0.122	325.58	26.92	9.62	0.137
279.04	43.56	7.18	0.175	104.57	49.92	24.59	0.337
1081.45	22.73	9.09	0.141	1079.45	27.27	9.09	0.162
7.83	77.78	0.0	0.273	7.67	77.78	0.0	0.28
790.8	30.83	2.5	0.114	786.77	35.83	5.83	0.158
309.91	31.55	1.19	0.117	294.65	36.31	4.76	0.153
443.6	30.0	10.0	0.16	431.75	32.5	10.0	0.175
501.48	50.95	44.62	0.468	90.92	51.9	45.89	0.488
116.17	13.44	1.94	0.065	26.45	60.44	17.76	0.314
1359.28	16.67	5.56	0.086	1355.33	16.67	5.56	0.088
871.48	32.26	4.84	0.116	869.45	35.48	8.06	0.173
996.5	15.38	0.0	0.047	995.15	15.38	1.92	0.06
400.08	28.13	8.44	0.151	356.78	29.69	10.94	0.173
1364.94	25.0	0.0	0.071	1360.63	25.0	0.0	0.074
1253.74	6.49	1.3	0.033	1246.06	7.14	1.3	0.036
333.33	33.33	16.67	0.239	314.0	33.33	16.67	0.239
816.59	0.0	0.0	0.014	799.55	0.0	0.0	0.014
22.36	30.48	2.38	0.116	2.47	98.57	60.48	0.722
188.84	42.31	8.79	0.206	155.84	48.9	22.53	0.311
16.63	62.5	25.0	0.402	1.13	100.0	87.5	0.938
18.53	30.34	2.99	0.124	3.38	96.15	54.27	0.637
12.19	46.15	7.69	0.215	5.08	84.62	11.54	0.351
2105.5	0.0	0.0	0.006	2092.73	0.0	0.0	0.006
309.53	37.5	9.38	0.171	300.59	37.5	9.38	0.191
353.17	16.67	5.56	0.097	347.78	16.67	5.56	0.099
17.85	28.33	1.67	0.111	11.17	73.33	16.67	0.304
24.5	50.0	12.5	0.303	9.5	50.0	50.0	0.528
461.55	25.53	2.55	0.097	455.16	31.28	4.04	0.129
551.25	0.0	0.0	0.003	550.5	0.0	0.0	0.003
52.62	26.0	2.0	0.098	46.36	32.0	4.0	0.125
112.67	33.33	0.0	0.176	86.17	33.33	0.0	0.176
1082.14	4.55	0.0	0.017	1080.86	4.55	0.0	0.018
68.19	52.33	3.49	0.169	49.41	52.33	5.81	0.208
127.47	31.25	0.0	0.075	114.47	31.25	0.0	0.1
407.29	48.91	33.7	0.407	238.64	48.91	33.7	0.408
88.64	35.71	7.14	0.16	87.71	42.86	7.14	0.163
29.56	85.42	50.0	0.637	29.56	85.42	50.0	0.637
539.52	48.81	46.43	0.472	256.15	49.4	46.43	0.476
58.17	66.36	2.73	0.182	56.04	77.27	5.45	0.249
493.27	31.36	5.76	0.148	387.18	39.55	12.58	0.218
31.31	73.08	15.38	0.313	30.04	73.08	15.38	0.335
396.46	46.72	22.99	0.332	289.53	46.72	22.99	0.334
190.13	50.0	50.0	0.501	80.25	50.0	50.0	0.504
95.17	50.0	33.33	0.376	38.33	50.0	33.33	0.384
77.31	15.38	3.85	0.091	73.42	26.92	3.85	0.1
420.35	40.0	3.33	0.132	405.16	76.67	34.17	0.488
656.8	50.0	11.96	0.284	461.25	50.0	11.96	0.285
1.0	100.0	100.0	1.0	1.0	100.0	100.0	1.0
301.33	40.32	11.69	0.201	242.21	41.94	14.11	0.233
1113.1	3.33	3.33	0.042	1106.37	3.33	3.33	0.043
3357.65	38.46	3.85	0.14	3350.77	53.85	7.69	0.178
40.11	51.61	0.0	0.132	33.68	69.35	6.45	0.242
39.53	14.71	0.0	0.083	26.03	38.24	0.0	0.126
452.81	41.18	7.35	0.175	446.9	58.82	16.18	0.274
1260.25	14.29	3.57	0.065	1251.04	14.29	3.57	0.068
1464.79	2.94	0.0	0.009	1458.51	2.94	0.0	0.009
175.05	20.39	2.3	0.085	151.33	30.92	4.93	0.126
215.47	27.11	3.77	0.112	173.2	41.11	13.03	0.221
184.7	37.11	4.64	0.144	177.84	40.72	5.67	0.178
60.66	56.82	20.45	0.312	58.36	56.82	25.0	0.343
103.97	31.03	1.72	0.117	87.97	36.21	6.9	0.17
57.67	8.33	0.0	0.028	54.83	8.33	0.0	0.03
194.29	26.8	5.56	0.125	150.37	34.31	8.82	0.172
66.5	0.0	0.0	0.016	62.25	0.0	0.0	0.018
54.6	40.42	2.99	0.128	24.48	66.17	23.05	0.361
53.56	10.0	0.0	0.033	27.43	16.25	0.0	0.07
39.66	13.21	0.0	0.066	14.98	45.28	4.72	0.171
502.87	15.98	1.5	0.065	478.26	17.48	2.44	0.08
15.94	56.25	12.5	0.311	1.0	100.0	100.0	1.0
42.87	50.0	15.22	0.264	17.91	67.39	19.57	0.335
12.62	38.46	3.85	0.163	3.0	100.0	26.92	0.491
45.35	37.1	16.13	0.23	15.55	51.61	19.35	0.296
41.29	52.63	17.11	0.319	11.74	76.32	39.47	0.506
28.44	29.37	0.79	0.102	11.21	73.02	11.9	0.291
41.84	27.33	4.65	0.124	13.25	65.89	21.51	0.345
11.75	50.0	0.0	0.182	4.19	87.5	37.5	0.537
165.83	50.0	33.33	0.391	61.5	50.0	33.33	0.393
202.73	50.0	45.45	0.468	154.82	50.0	45.45	0.469
503.45	17.5	0.0	0.06	501.55	17.5	0.0	0.071
1185.38	20.0	0.0	0.05	1174.01	20.91	0.0	0.054
787.5	42.86	42.86	0.429	709.07	42.86	42.86	0.43
717.41	41.03	12.82	0.211	694.49	42.31	12.82	0.219
1020.0	12.5	0.0	0.049	1019.0	12.5	0.0	0.049
2445.94	0.0	0.0	0.013	2445.28	0.0	0.0	0.013
304.73	45.83	6.77	0.177	275.83	72.4	17.71	0.369
238.99	49.29	26.43	0.339	141.06	51.43	27.14	0.349
3582.68	3.72	0.53	0.017	3560.15	4.26	0.53	0.019
1707.78	0.0	0.0	0.003	1697.78	0.0	0.0	0.003
2051.44	7.69	1.92	0.035	2031.51	7.69	1.92	0.036
50.47	38.24	5.88	0.166	45.35	44.12	5.88	0.192
358.33	29.31	1.72	0.097	353.38	34.48	1.72	0.109
1036.73	16.73	0.8	0.056	969.87	17.53	2.59	0.072
1599.28	49.06	38.68	0.424	1408.79	49.06	38.68	0.425
1138.4	6.25	2.08	0.038	1136.29	6.25	2.08	0.041
