Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/organization/organization_founder/organizations_founded	9	1195.11	22.22	5.56	0.125	1194.39	22.22	16.67	0.191
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season	27	17.3	40.74	0.0	0.089	1.76	96.3	83.33	0.889
/education/educational_institution/colors	90	210.51	38.33	1.11	0.122	164.45	45.0	11.11	0.209
/people/person/sibling_s./people/sibling_relationship/sibling	7	910.21	35.71	0.0	0.067	909.64	35.71	0.0	0.076
/film/director/film	19	627.21	31.58	5.26	0.13	623.74	39.47	5.26	0.137
/people/person/nationality	494	1083.15	47.06	33.1	0.384	220.06	51.92	37.55	0.428
/education/educational_institution/students_graduates./education/education/student	311	834.23	13.02	1.45	0.053	822.22	14.79	3.22	0.072
/soccer/football_player/current_team./sports/sports_team_roster/team	9	122.17	0.0	0.0	0.027	117.89	0.0	0.0	0.03
/award/award_winner/awards_won./award/award_honor/award_winner	41	149.72	23.17	1.22	0.078	143.21	54.88	3.66	0.156
/business/business_operation/revenue./measurement_unit/dated_money_value/currency	1	137.0	50.0	50.0	0.502	30.5	50.0	50.0	0.508
/user/alexander/philosophy/philosopher/interests	9	20.61	50.0	0.0	0.101	14.89	61.11	5.56	0.218
/music/genre/parent_genre	97	87.56	33.51	1.55	0.109	78.32	47.94	10.82	0.232
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics	8	21.06	18.75	0.0	0.076	4.63	87.5	31.25	0.481
/film/special_film_performance_type/film_performance_type./film/performance/film	11	418.09	50.0	36.36	0.437	401.18	59.09	40.91	0.498
/common/topic/webpage./common/webpage/category	402	3233.65	50.0	50.0	0.5	1244.77	50.62	50.12	0.503
/soccer/football_team/current_roster./sports/sports_team_roster/position	12	353.54	50.0	0.0	0.134	75.29	50.0	29.17	0.399
/people/person/places_lived./people/place_lived/location	305	1147.71	14.92	1.8	0.063	1112.65	16.72	3.28	0.079
/sports/sports_team_location/teams	53	731.38	5.66	1.89	0.033	730.9	5.66	1.89	0.033
/music/group_member/membership./music/group_membership/group	22	41.45	50.0	11.36	0.23	39.16	56.82	20.45	0.303
/people/person/languages	98	518.08	46.43	25.51	0.328	359.17	53.06	33.67	0.405
/time/event/instance_of_recurring_event	11	1347.95	40.91	40.91	0.42	1329.05	81.82	81.82	0.818
/business/business_operation/industry	41	140.48	43.9	9.76	0.23	123.43	53.66	29.27	0.384
/film/film/film_art_direction_by	3	7.5	50.0	50.0	0.536	2.5	100.0	50.0	0.631
/film/film_set_designer/film_sets_designed	8	60.69	50.0	6.25	0.143	56.44	56.25	6.25	0.173
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics	63	36.35	12.7	0.0	0.056	10.48	72.22	7.14	0.262
/film/film/cinematography	17	282.74	41.18	17.65	0.248	277.94	41.18	17.65	0.262
/people/cause_of_death/people	94	750.27	23.94	4.26	0.106	727.16	25.0	5.85	0.121
/government/politician/government_positions_held./government/government_position_held/legislative_sessions	30	12.93	41.67	0.0	0.13	2.23	96.67	70.0	0.806
/film/film/other_crew./film/film_crew_gig/film_crew_role	606	418.1	40.26	0.74	0.092	129.1	52.56	25.17	0.347
/film/film/prequel	18	51.75	50.0	2.78	0.149	51.58	50.0	2.78	0.158
/film/film/country	131	531.63	43.13	17.18	0.262	224.95	46.56	29.01	0.352
/base/aareas/schema/administrative_area/administrative_area_type	20	84.38	50.0	50.0	0.503	1.85	100.0	67.5	0.781
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	170.38	2.14	0.86	0.029	31.65	56.57	14.13	0.278
/music/genre/artists	664	154.21	20.33	0.68	0.062	97.74	43.9	16.11	0.256
/location/location/time_zones	137	259.47	49.64	39.05	0.436	107.73	57.3	41.24	0.475
/people/ethnicity/people	251	575.28	36.25	15.14	0.228	508.01	41.04	19.12	0.269
/tv/tv_program/languages	24	100.73	52.08	43.75	0.468	6.67	97.92	54.17	0.657
/dataworld/gardening_hint/split_to	10	4024.7	0.0	0.0	0.003	4024.35	0.0	0.0	0.003
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	20.94	50.0	0.0	0.211	1.0	100.0	100.0	1.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	147.08	15.97	0.17	0.05	87.0	46.85	8.45	0.203
/tv/tv_network/programs./tv/tv_network_duration/program	26	105.71	48.08	7.69	0.171	97.56	50.0	13.46	0.221
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	52.71	50.0	0.0	0.198	7.63	85.53	59.21	0.692
/people/deceased_person/place_of_burial	9	270.0	50.0	5.56	0.204	260.22	50.0	5.56	0.205
/olympics/olympic_games/participating_countries	23	53.78	50.0	13.04	0.248	18.54	63.04	28.26	0.403
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	490.39	22.22	0.0	0.11	482.67	27.78	11.11	0.185
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	312.13	12.9	3.23	0.066	304.73	16.13	3.23	0.075
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	137.39	16.59	0.0	0.059	124.61	68.46	1.4	0.182
/location/administrative_division/country	3	298.0	33.33	16.67	0.253	271.83	33.33	16.67	0.255
/music/artist/contribution./music/recording_contribution/performance_role	14	262.18	42.86	7.14	0.173	251.57	42.86	17.86	0.274
/medicine/disease/notable_people_with_this_condition	15	863.2	36.67	13.33	0.207	856.43	36.67	16.67	0.224
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	36.6	41.27	0.0	0.09	12.48	78.57	31.75	0.466
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	71.78	34.38	3.13	0.132	68.56	37.5	6.25	0.164
/government/politician/government_positions_held./government/government_position_held/basic_title	16	25.09	50.0	9.38	0.233	13.44	71.88	37.5	0.455
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	11.5	0.0	0.0	0.087	2.83	100.0	0.0	0.375
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	24.25	50.0	0.0	0.199	6.0	75.0	25.0	0.424
/tv/tv_program/country_of_origin	32	162.95	51.56	35.94	0.417	75.45	60.94	37.5	0.461
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	91.68	51.32	18.42	0.3	46.59	78.95	39.47	0.532
/people/person/gender	436	1499.51	50.0	44.61	0.473	167.2	61.93	48.05	0.534
/film/actor/film./film/performance/special_performance_type	16	481.31	50.0	43.75	0.471	425.97	53.13	50.0	0.52
/education/educational_institution_campus/educational_institution	13	10.0	57.69	23.08	0.364	10.0	57.69	23.08	0.364
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	27	369.81	50.0	42.59	0.448	342.22	57.41	46.3	0.496
/music/record_label/artist	266	360.17	20.11	0.38	0.062	331.73	28.76	6.2	0.134
/award/award_nominee/award_nominations./award/award_nomination/award	1067	182.52	22.12	1.27	0.073	139.61	42.22	10.31	0.204
/base/aareas/schema/administrative_area/administrative_parent	25	143.38	42.0	42.0	0.427	73.42	82.0	66.0	0.71
/tv/tv_program/program_creator	2	1871.5	0.0	0.0	0.009	1871.25	0.0	0.0	0.009
/music/performance_role/regular_performances./music/group_membership/group	167	67.03	32.34	0.3	0.07	18.87	66.47	26.05	0.402
