Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/film/film/prequel	18	12.0	75.0	0.0	0.28	11.86	75.0	0.0	0.293
/film/film/country	131	372.13	46.56	20.61	0.302	106.49	51.15	34.35	0.405
/base/aareas/schema/administrative_area/administrative_area_type	20	60.13	52.5	50.0	0.51	1.5	100.0	57.5	0.78
/film/film/release_date_s./film/film_regional_release_date/film_release_region	1447	116.87	11.33	1.21	0.053	23.23	65.31	22.74	0.369
/music/genre/artists	664	101.12	33.36	4.82	0.129	60.8	51.13	20.63	0.308
/location/location/time_zones	137	193.14	50.0	45.26	0.472	51.27	69.71	49.64	0.566
/people/ethnicity/people	251	355.98	42.63	17.73	0.268	299.85	46.41	21.51	0.306
/tv/tv_program/languages	24	103.15	52.08	50.0	0.506	3.46	97.92	52.08	0.621
/dataworld/gardening_hint/split_to	10	1439.6	55.0	35.0	0.4	1439.55	55.0	35.0	0.408
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal	16	17.84	50.0	12.5	0.302	1.0	100.0	100.0	1.0
/award/award_category/nominees./award/award_nomination/nominated_for	858	101.2	25.82	2.04	0.09	57.59	50.58	13.23	0.254
/tv/tv_network/programs./tv/tv_network_duration/program	26	70.52	40.38	3.85	0.177	63.13	44.23	13.46	0.245
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal	38	33.47	51.32	21.05	0.343	4.59	89.47	73.68	0.799
/people/deceased_person/place_of_burial	9	176.78	50.0	11.11	0.243	167.44	50.0	11.11	0.243
/olympics/olympic_games/participating_countries	23	41.87	52.17	15.22	0.26	14.09	67.39	28.26	0.42
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program	9	57.72	27.78	16.67	0.222	52.28	27.78	22.22	0.266
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	31	348.82	27.42	6.45	0.136	343.27	30.65	6.45	0.144
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	214	33.49	30.84	0.47	0.089	22.59	79.44	5.61	0.285
/location/administrative_division/country	3	106.33	50.0	33.33	0.36	80.17	50.0	33.33	0.361
/music/artist/contribution./music/recording_contribution/performance_role	14	91.79	46.43	10.71	0.23	84.43	50.0	17.86	0.294
/medicine/disease/notable_people_with_this_condition	15	396.7	50.0	16.67	0.283	391.6	50.0	16.67	0.289
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	21.12	51.59	5.56	0.177	5.42	85.71	42.86	0.572
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	792.94	37.5	3.13	0.163	789.78	46.88	9.38	0.217
/government/politician/government_positions_held./government/government_position_held/basic_title	16	16.84	43.75	18.75	0.312	8.19	78.13	43.75	0.549
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	7.67	83.33	0.0	0.145	1.83	100.0	50.0	0.694
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	26.25	50.0	25.0	0.385	8.75	50.0	25.0	0.407
/tv/tv_program/country_of_origin	32	86.31	50.0	35.94	0.425	11.44	81.25	42.19	0.563
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	80.76	51.32	25.0	0.347	41.59	72.37	39.47	0.504
/people/person/gender	436	1271.15	49.89	45.18	0.476	86.95	76.03	53.1	0.611
/film/actor/film./film/performance/special_performance_type	16	402.38	50.0	43.75	0.466	352.91	53.13	50.0	0.512
/education/educational_institution_campus/educational_institution	13	1.42	100.0	65.38	0.814	1.42	100.0	65.38	0.814
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	27	194.76	48.15	44.44	0.455	171.06	53.7	46.3	0.487
/music/record_label/artist	266	203.04	25.0	4.7	0.111	182.67	29.32	7.14	0.142
/award/award_nominee/award_nominations./award/award_nomination/award	1067	128.81	29.52	3.51	0.114	95.77	48.31	13.45	0.247
/base/aareas/schema/administrative_area/administrative_parent	25	69.9	50.0	42.0	0.438	17.52	92.0	70.0	0.741
/tv/tv_program/program_creator	2	392.5	0.0	0.0	0.005	392.5	0.0	0.0	0.005
/music/performance_role/regular_performances./music/group_membership/group	167	47.21	42.51	3.29	0.134	13.96	70.06	29.04	0.434
/people/ethnicity/geographic_distribution	17	34.0	58.82	20.59	0.339	28.47	73.53	32.35	0.482
/music/performance_role/track_performances./music/track_contribution/role	53	41.92	14.15	0.94	0.063	13.89	48.11	7.55	0.205
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person	7	489.5	42.86	35.71	0.409	478.79	64.29	50.0	0.547
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	36.64	54.76	28.57	0.37	3.88	85.71	54.76	0.664
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	16.7	10.0	0.0	0.071	7.1	90.0	0.0	0.301
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed	21	18.36	50.0	2.38	0.158	1.31	100.0	73.81	0.863
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	15.41	71.88	3.13	0.2	11.38	90.63	9.38	0.394
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school	42	28.21	44.05	4.76	0.161	22.13	58.33	8.33	0.239
/tv/tv_program/genre	94	35.22	41.49	4.79	0.16	16.31	69.15	29.79	0.419
/film/film/film_festivals	18	106.28	50.0	22.22	0.327	99.97	52.78	30.56	0.399
/location/location/contains	330	232.31	45.91	8.33	0.224	127.59	58.18	30.76	0.399
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	84	427.82	50.0	50.0	0.501	16.0	64.88	51.19	0.556
/sports/sports_league/teams./sports/sports_league_participation/team	16	47.94	53.13	43.75	0.476	35.25	78.13	59.38	0.645
/people/person/spouse_s./people/marriage/spouse	4	250.38	0.0	0.0	0.009	250.13	0.0	0.0	0.009
/film/film/distributors./film/film_film_distributor_relationship/region	10	70.45	50.0	50.0	0.504	13.9	80.0	55.0	0.602
/film/film/other_crew./film/film_crew_gig/crewmember	26	161.77	38.46	5.77	0.143	155.65	42.31	7.69	0.161
/organization/organization/headquarters./location/mailing_address/state_province_region	39	448.06	50.0	26.92	0.361	423.45	55.13	32.05	0.409
/education/field_of_study/students_majoring./education/education/major_field_of_study	11	16.23	40.91	4.55	0.167	11.09	63.64	4.55	0.231
/base/locations/continents/countries_within	5	25.4	50.0	50.0	0.512	9.7	80.0	50.0	0.553
/award/award_winning_work/awards_won./award/award_honor/award	118	66.19	30.08	1.69	0.1	54.79	44.49	9.32	0.208
/organization/organization/child./organization/organization_relationship/child	20	114.17	30.0	7.5	0.153	112.67	37.5	12.5	0.19
/film/film/genre	722	259.57	37.4	4.02	0.138	121.27	49.86	20.5	0.306
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	31	50.35	40.32	19.35	0.263	12.37	53.23	29.03	0.371
/people/person/place_of_birth	170	808.97	20.0	7.35	0.119	789.28	20.59	7.35	0.12
/language/human_language/countries_spoken_in	25	31.82	46.0	12.0	0.239	25.08	60.0	22.0	0.338
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	16.5	50.0	0.0	0.183	14.0	50.0	0.0	0.187
/education/educational_institution/campuses	13	1.38	100.0	69.23	0.833	1.38	100.0	69.23	0.833
/base/culturalevent/event/entity_involved	20	275.55	40.0	5.0	0.14	273.15	45.0	12.5	0.217
/award/award_category/winners./award/award_honor/award_winner	217	296.21	33.41	4.61	0.132	283.52	47.7	11.06	0.222
/organization/organization/headquarters./location/mailing_address/country	7	212.29	42.86	42.86	0.433	141.93	42.86	42.86	0.444
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency	5	151.5	50.0	50.0	0.503	37.0	50.0	50.0	0.509
/olympics/olympic_games/sports	13	14.04	38.46	0.0	0.091	2.46	100.0	15.38	0.49
/sports/sports_team/sport	53	137.46	52.83	48.11	0.499	47.0	89.62	72.64	0.782
/people/profession/specialization_of	13	322.62	26.92	7.69	0.153	320.15	30.77	7.69	0.159
