1402.95	37.5	37.5	0.385	1387.55	75.0	52.5	0.575
1361.13	43.33	10.0	0.223	1353.0	73.33	43.33	0.54
1792.9	20.05	1.92	0.077	1783.87	30.19	3.9	0.121
2946.39	35.05	3.04	0.114	2943.85	38.55	4.91	0.151
313.39	80.19	13.93	0.331	309.37	95.67	61.61	0.736
2142.88	55.36	21.45	0.317	2140.76	59.78	25.39	0.355
1902.77	61.16	19.83	0.31	1901.31	64.46	25.62	0.372
630.63	78.13	6.25	0.263	627.31	93.75	21.88	0.505
2207.6	25.49	2.16	0.089	2199.8	32.29	4.55	0.126
259.27	37.38	0.0	0.095	254.44	50.47	2.8	0.169
3497.05	23.11	1.14	0.073	3493.81	29.55	3.03	0.107
1017.04	42.68	0.0	0.096	1013.27	67.07	4.88	0.204
2111.64	47.03	3.81	0.131	2109.92	51.69	4.66	0.159
3561.96	52.08	10.42	0.197	3560.63	54.17	14.58	0.246
10.95	40.0	0.0	0.124	3.1	95.0	25.0	0.518
773.85	48.08	42.31	0.446	757.23	51.92	44.23	0.469
42.89	53.13	39.58	0.461	26.85	67.71	47.92	0.548
60.5	50.0	50.0	0.504	6.13	77.5	52.5	0.627
1056.48	46.0	42.0	0.434	1003.56	70.0	42.0	0.479
1309.56	43.75	25.0	0.329	1296.19	43.75	31.25	0.363
599.89	53.57	39.29	0.435	567.25	57.14	39.29	0.445
14.14	64.29	42.86	0.507	9.0	78.57	50.0	0.564
5140.55	22.5	5.0	0.091	5139.13	22.5	10.0	0.127
232.05	50.0	22.73	0.366	215.77	50.0	31.82	0.412
6.33	100.0	0.0	0.188	2.0	100.0	33.33	0.611
22.6	50.0	50.0	0.512	7.4	90.0	50.0	0.625
11.38	48.78	0.0	0.124	3.61	96.34	30.49	0.501
17.02	50.0	0.0	0.177	1.86	100.0	54.76	0.722
7654.5	0.0	0.0	0.0	7654.5	0.0	0.0	0.0
6869.45	0.0	0.0	0.001	6868.18	0.0	0.0	0.001
6127.97	6.25	1.56	0.031	6126.67	7.81	1.56	0.041
3696.5	25.81	1.61	0.091	3693.63	25.81	3.23	0.111
9.83	83.33	0.0	0.102	2.83	100.0	0.0	0.375
36.63	52.5	27.5	0.4	18.23	70.0	57.5	0.609
565.83	54.76	33.33	0.403	546.31	90.48	73.81	0.79
3176.13	31.58	9.21	0.168	3166.24	39.47	22.37	0.281
357.79	50.0	49.17	0.497	247.97	50.0	49.17	0.499
4949.4	27.59	1.72	0.09	4947.67	27.59	5.17	0.11
213.85	51.85	0.0	0.149	203.91	96.3	75.93	0.843
65.29	60.71	50.0	0.525	53.93	71.43	60.71	0.66
1661.9	61.25	21.25	0.307	1659.28	65.0	25.0	0.371
29.0	50.0	50.0	0.509	1.0	100.0	100.0	1.0
1731.32	45.83	4.17	0.156	1723.15	57.14	14.29	0.285
7663.0	0.0	0.0	0.0	7661.5	0.0	0.0	0.0
978.06	46.45	46.45	0.465	645.39	47.97	47.08	0.477
4307.2	20.0	10.0	0.129	4307.2	20.0	10.0	0.129
262.16	44.43	2.26	0.129	232.72	61.5	26.31	0.387
23.32	49.21	2.38	0.136	6.84	84.92	25.4	0.427
87.65	53.7	22.22	0.322	78.35	55.56	24.07	0.348
1.04	100.0	96.15	0.981	1.04	100.0	96.15	0.981
2108.13	38.89	2.22	0.142	2096.15	42.78	12.78	0.233
1176.31	43.13	14.37	0.248	1157.21	50.0	19.38	0.309
1215.51	23.52	0.62	0.079	1204.51	52.65	12.46	0.25
7088.61	1.29	0.48	0.008	7085.42	1.29	0.96	0.012
1.12	100.0	88.46	0.942	1.12	100.0	88.46	0.942
863.5	45.45	0.0	0.124	857.41	59.09	13.64	0.313
4547.75	22.06	4.41	0.101	4546.63	22.06	7.35	0.123
79.8	50.0	30.0	0.406	51.5	50.0	30.0	0.412
67.79	50.0	26.19	0.383	45.88	59.52	42.86	0.491
167.0	50.0	50.0	0.502	128.0	50.0	50.0	0.502
200.46	50.0	50.0	0.504	172.29	58.33	50.0	0.52
6386.25	10.83	3.53	0.059	6382.49	11.12	5.86	0.077
192.94	53.13	46.88	0.485	171.72	53.13	50.0	0.52
5622.21	34.21	23.68	0.261	5620.71	36.84	23.68	0.293
4450.41	23.53	14.71	0.18	4448.65	29.41	17.65	0.202
2220.15	42.31	30.77	0.346	2215.73	53.85	30.77	0.364
1257.79	43.13	19.47	0.279	1217.81	46.18	25.57	0.331
102.11	48.68	27.63	0.375	84.22	77.63	38.16	0.531
30.65	50.0	50.0	0.509	3.8	100.0	55.0	0.616
2806.0	43.75	6.25	0.202	2803.63	43.75	25.0	0.341
1165.73	42.31	19.23	0.244	1161.81	50.0	19.23	0.269
666.21	48.34	48.34	0.485	372.24	52.32	49.01	0.504
2793.62	50.0	22.6	0.329	2791.07	60.96	29.45	0.398
4691.6	20.5	7.5	0.125	4685.84	21.0	9.0	0.139
9.17	50.0	50.0	0.529	4.5	100.0	50.0	0.563
546.97	52.78	22.22	0.318	543.78	52.78	22.22	0.333
350.97	53.85	34.62	0.426	318.35	61.54	41.03	0.48
2909.1	50.0	20.0	0.281	2906.3	50.0	30.0	0.359
2295.14	34.7	6.58	0.147	2269.74	39.82	14.61	0.228
1412.32	42.04	29.94	0.345	1217.45	49.84	35.35	0.413
6574.81	10.33	5.43	0.072	6572.12	10.33	5.43	0.072
4007.15	23.08	5.77	0.099	4004.23	25.0	7.69	0.113
808.09	45.3	7.34	0.184	776.93	51.98	29.29	0.375
5190.86	27.27	13.64	0.18	5189.59	36.36	18.18	0.223
6385.94	19.44	8.33	0.129	6385.78	19.44	8.33	0.134
3730.76	47.5	16.67	0.276	3729.49	47.5	23.33	0.326
2652.88	52.38	10.12	0.229	2649.74	56.55	20.83	0.321
1866.1	35.0	12.5	0.2	1858.38	37.5	15.0	0.221
396.23	50.0	47.15	0.486	104.04	52.53	49.05	0.506
485.48	20.28	1.07	0.077	467.34	59.71	17.73	0.313
832.5	33.33	0.0	0.084	830.28	33.33	0.0	0.093
4685.73	43.55	17.74	0.261	4684.61	45.16	30.65	0.366
5983.44	7.69	0.0	0.029	5982.73	7.69	0.0	0.029
2844.07	35.0	10.0	0.171	2834.11	40.0	13.13	0.217
22.25	56.25	12.5	0.255	19.25	68.75	12.5	0.285
4605.61	32.89	13.82	0.192	4603.97	33.55	13.82	0.197
61.33	50.0	50.0	0.508	51.33	50.0	50.0	0.513
98.18	50.0	27.27	0.388	89.18	59.09	31.82	0.451
9.22	57.14	5.24	0.221	1.8	100.0	68.1	0.796
891.72	47.25	14.84	0.278	872.45	62.64	39.01	0.475
16.5	54.17	20.83	0.372	1.21	100.0	79.17	0.896
17.06	33.33	2.14	0.119	1.83	99.57	70.94	0.805
12.38	38.46	0.0	0.147	4.38	100.0	15.38	0.363
1523.18	40.91	27.27	0.355	1517.36	59.09	31.82	0.434
10.19	65.63	18.75	0.344	3.56	96.88	37.5	0.533
1742.17	33.33	11.11	0.171	1737.78	38.89	11.11	0.18
8.43	71.67	15.0	0.296	1.82	100.0	65.0	0.776
9.75	62.5	12.5	0.303	3.63	100.0	50.0	0.594
4598.99	36.17	4.89	0.133	4597.38	36.17	5.96	0.147
7188.25	0.0	0.0	0.0	7187.75	0.0	0.0	0.0
3040.22	46.0	8.0	0.205	3035.76	50.0	12.0	0.27
1863.33	33.33	33.33	0.338	1853.17	33.33	33.33	0.343
6019.41	13.64	4.55	0.082	6018.36	13.64	9.09	0.117
381.99	47.67	10.47	0.249	361.62	61.63	34.88	0.458
1864.25	37.5	15.63	0.235	1855.38	43.75	21.88	0.296
251.33	48.91	48.91	0.495	218.41	59.78	53.26	0.578
6086.64	14.29	7.14	0.084	6085.86	14.29	7.14	0.107
792.15	87.5	70.83	0.788	792.15	87.5	70.83	0.788
42.85	50.0	50.0	0.507	8.58	87.5	52.98	0.641
1166.1	84.55	3.64	0.298	1164.82	85.45	35.45	0.542
1928.96	43.29	9.15	0.217	1910.69	54.42	29.42	0.379
1182.54	61.54	15.38	0.298	1180.38	73.08	19.23	0.362
134.49	50.36	41.61	0.452	109.52	63.5	44.53	0.511
83.38	50.0	50.0	0.503	15.0	62.5	50.0	0.543
77.0	66.67	50.0	0.585	34.0	66.67	66.67	0.67
2924.69	23.08	0.0	0.067	2920.85	34.62	0.0	0.1
813.96	37.5	2.5	0.122	800.27	78.33	37.5	0.501
45.25	50.0	50.0	0.507	16.26	58.7	52.17	0.569
3.5	100.0	0.0	0.313	3.5	100.0	0.0	0.313
1954.31	43.95	18.15	0.272	1944.54	47.58	25.81	0.333
1656.13	43.33	13.33	0.23	1652.7	43.33	23.33	0.298
1356.73	38.46	11.54	0.223	1352.77	53.85	19.23	0.303
242.97	64.52	3.23	0.206	238.56	85.48	19.35	0.413
26.38	8.82	0.0	0.055	11.12	79.41	5.88	0.271
1248.82	41.18	4.41	0.162	1243.94	51.47	25.0	0.335
1722.39	50.0	7.14	0.177	1715.64	50.0	10.71	0.236
5069.88	19.12	7.35	0.117	5068.26	19.12	10.29	0.135
1754.84	29.93	3.62	0.12	1746.45	39.14	11.84	0.205
2535.41	37.58	6.17	0.147	2529.1	45.71	11.14	0.21
4121.9	43.3	8.76	0.204	4119.43	45.36	11.86	0.245
3638.02	45.45	20.45	0.29	3636.95	47.73	22.73	0.311
1385.34	36.21	5.17	0.164	1377.38	44.83	10.34	0.221
15.33	58.33	8.33	0.226	12.5	58.33	8.33	0.236
2090.16	30.72	8.82	0.155	2070.19	37.91	15.03	0.224
28.25	0.0	0.0	0.041	24.5	0.0	0.0	0.049
392.55	45.51	3.89	0.151	376.44	68.56	18.86	0.367
46.02	2.5	0.0	0.034	22.63	27.5	1.25	0.094
46.07	1.89	0.94	0.038	20.6	22.64	3.77	0.107
3760.36	30.38	8.3	0.153	3755.42	31.13	10.19	0.172
17.66	50.0	0.0	0.234	1.0	100.0	100.0	1.0
61.04	50.0	13.04	0.226	31.65	58.7	23.91	0.36
13.77	34.62	0.0	0.111	3.19	100.0	23.08	0.475
52.69	41.94	14.52	0.233	20.16	51.61	22.58	0.328
48.99	50.0	0.0	0.203	9.96	75.0	50.0	0.6
34.06	23.81	0.79	0.083	15.57	65.08	7.94	0.258
38.4	31.98	2.33	0.109	12.79	69.57	24.03	0.382
14.19	43.75	0.0	0.132	2.94	93.75	50.0	0.652
1581.5	33.33	33.33	0.335	1550.33	33.33	33.33	0.335
35.39	50.0	50.0	0.508	12.34	54.55	50.0	0.529
4574.5	25.0	7.5	0.134	4573.32	27.5	7.5	0.158
4882.4	18.18	12.73	0.16	4879.71	25.45	12.73	0.165
1451.29	42.86	42.86	0.433	1423.21	42.86	42.86	0.451
1480.95	53.85	29.49	0.382	1473.15	67.95	38.46	0.51
6367.38	9.38	6.25	0.076	6366.84	9.38	9.38	0.097
5185.94	33.33	16.67	0.225	5185.67	33.33	22.22	0.262
331.05	48.96	7.29	0.208	300.54	66.67	39.58	0.488
320.07	48.57	34.29	0.412	289.85	53.57	37.86	0.444
5810.72	15.59	8.06	0.11	5807.19	15.59	8.6	0.113
1239.0	44.44	5.56	0.193	1235.06	44.44	5.56	0.193
3991.99	26.92	13.46	0.182	3989.13	26.92	13.46	0.183
1028.18	47.06	14.71	0.274	1022.41	67.65	29.41	0.4
3021.4	43.1	6.9	0.185	3017.81	50.0	27.59	0.351
2975.18	33.47	16.14	0.219	2969.17	35.66	16.93	0.229
293.68	49.06	49.06	0.493	219.14	50.0	49.06	0.499
5400.75	16.67	4.17	0.084	5399.9	16.67	4.17	0.09
349.81	49.77	42.2	0.461	108.0	58.03	47.02	0.525
964.43	51.02	30.1	0.376	927.3	52.04	35.2	0.419
590.25	49.19	36.44	0.416	510.45	55.57	40.99	0.466
6167.83	12.35	5.59	0.082	6165.2	12.65	6.76	0.091
5515.37	17.21	1.97	0.072	5511.57	17.21	3.61	0.092
1166.74	42.03	8.62	0.194	1149.07	51.37	20.44	0.311
2264.83	35.83	23.62	0.29	2256.69	35.83	25.59	0.305
1647.93	57.14	14.29	0.292	1647.64	57.14	14.29	0.334
5109.79	27.14	14.29	0.197	5108.7	28.57	21.43	0.241
7179.63	0.0	0.0	0.0	7179.5	0.0	0.0	0.0
423.61	50.14	43.35	0.468	185.76	51.3	46.97	0.493
4792.32	22.73	13.64	0.172	4790.73	27.27	18.18	0.211
5028.67	11.11	5.56	0.074	5027.33	11.11	5.56	0.084
29.7	50.0	0.0	0.174	15.4	55.0	30.0	0.422
31.58	50.0	0.0	0.177	17.75	50.0	29.17	0.411
6293.66	12.5	6.25	0.078	6292.38	12.5	9.38	0.099
9.62	62.79	5.81	0.206	2.64	100.0	39.53	0.59
1642.99	62.21	4.07	0.192	1634.7	72.09	32.56	0.438
790.56	50.0	29.41	0.382	782.85	73.53	50.0	0.593
11.78	62.5	43.75	0.496	6.44	78.13	56.25	0.622
27.98	33.33	1.19	0.107	20.77	48.81	8.33	0.202
2414.41	31.82	0.0	0.086	2407.93	34.09	13.64	0.204
1021.84	42.86	17.53	0.259	1009.77	46.1	20.13	0.305
34.0	50.0	0.0	0.059	19.5	50.0	0.0	0.139
16.5	16.67	0.0	0.081	5.67	83.33	16.67	0.388
14.0	50.0	16.67	0.271	2.83	100.0	33.33	0.561
18.75	50.0	25.0	0.389	6.5	50.0	50.0	0.542
289.53	55.66	50.0	0.521	259.02	72.64	60.38	0.658
7241.2	0.0	0.0	0.0	7240.92	0.0	0.0	0.0
9.17	50.0	50.0	0.53	1.0	100.0	100.0	1.0
1891.19	42.65	2.94	0.148	1888.82	51.47	16.18	0.264
12.48	52.5	0.0	0.128	1.1	100.0	90.83	0.953
19.07	50.0	10.0	0.277	2.9	97.5	65.0	0.715
1786.14	50.0	28.57	0.362	1779.21	57.14	50.0	0.531
3426.48	34.62	3.85	0.154	3423.38	36.54	5.77	0.171
1353.14	40.91	27.27	0.359	1349.27	72.73	27.27	0.379
135.7	50.0	50.0	0.503	83.45	59.09	52.27	0.546
2120.13	37.5	12.5	0.191	2117.63	50.0	12.5	0.237
424.64	51.56	40.63	0.449	398.89	62.5	46.88	0.524
1533.29	44.68	10.64	0.227	1526.88	61.7	33.51	0.419
46.19	52.08	47.92	0.502	5.31	81.25	54.17	0.606
5409.0	0.0	0.0	0.0	5409.0	0.0	0.0	0.0
6150.67	9.89	2.75	0.052	6148.52	10.44	2.75	0.053
47.23	50.0	50.0	0.507	17.09	77.27	59.09	0.629
4495.94	33.33	11.11	0.172	4491.67	33.33	16.67	0.219
19.94	50.0	0.0	0.111	15.89	66.67	5.56	0.197
16.0	9.09	0.0	0.072	4.05	100.0	13.64	0.354
63.83	50.0	33.33	0.393	23.0	60.42	45.83	0.51
223.31	48.89	48.89	0.491	117.08	55.56	48.89	0.51
