285.07	37.5	37.5	0.385	264.4	75.0	65.0	0.701
26.27	50.0	3.33	0.199	12.8	76.67	56.67	0.635
147.08	15.97	0.17	0.05	87.0	46.85	8.45	0.203
357.0	24.19	2.07	0.086	341.65	37.56	5.99	0.153
37.1	9.29	0.0	0.051	2.36	97.83	61.61	0.744
221.98	29.97	4.1	0.122	206.12	45.27	17.67	0.263
286.05	23.14	2.89	0.097	279.5	31.82	13.64	0.208
40.84	50.0	0.0	0.135	36.28	81.25	3.13	0.315
182.52	22.12	1.27	0.073	139.61	42.22	10.31	0.204
137.39	16.59	0.0	0.059	124.61	68.46	1.4	0.182
338.23	14.02	1.89	0.066	331.89	26.14	3.41	0.109
149.72	23.17	1.22	0.078	143.21	54.88	3.66	0.156
93.43	13.14	0.42	0.05	78.37	28.39	2.97	0.104
93.63	16.67	0.0	0.062	90.92	27.08	0.0	0.085
33.2	0.0	0.0	0.053	21.25	90.0	5.0	0.271
369.81	50.0	42.59	0.448	342.22	57.41	46.3	0.496
85.86	50.0	28.13	0.372	47.24	67.71	50.0	0.571
84.38	50.0	50.0	0.503	1.85	100.0	67.5	0.781
143.38	42.0	42.0	0.427	73.42	82.0	66.0	0.71
453.81	50.0	31.25	0.347	424.06	50.0	31.25	0.354
232.29	50.0	35.71	0.408	143.96	50.0	35.71	0.41
73.29	35.71	14.29	0.254	63.29	35.71	14.29	0.258
477.3	40.0	5.0	0.144	474.48	47.5	12.5	0.25
977.27	50.0	22.73	0.366	941.27	54.55	31.82	0.417
11.5	0.0	0.0	0.087	2.83	100.0	0.0	0.375
22.7	50.0	50.0	0.514	7.5	80.0	50.0	0.569
20.01	2.44	0.0	0.054	4.29	92.68	18.29	0.414
24.52	50.0	0.0	0.118	1.74	97.62	71.43	0.825
144.5	0.0	0.0	0.007	144.5	0.0	0.0	0.007
693.27	0.0	0.0	0.007	691.23	0.0	0.0	0.007
1134.63	3.13	1.56	0.034	1131.44	3.13	1.56	0.035
312.13	12.9	3.23	0.066	304.73	16.13	3.23	0.075
10.83	33.33	0.0	0.093	2.83	100.0	0.0	0.375
362.73	45.0	17.5	0.31	323.7	52.5	40.0	0.462
46.19	52.38	26.19	0.347	5.79	88.1	54.76	0.648
95.43	43.42	11.84	0.215	77.17	59.21	25.0	0.377
575.14	50.0	49.17	0.496	327.5	55.0	49.17	0.513
137.03	22.41	1.72	0.092	131.86	31.03	6.9	0.144
17.3	40.74	0.0	0.089	1.76	96.3	83.33	0.889
119.64	50.0	32.14	0.394	96.46	60.71	46.43	0.524
140.48	43.9	9.76	0.23	123.43	53.66	29.27	0.384
137.0	50.0	50.0	0.502	30.5	50.0	50.0	0.508
360.09	35.29	1.76	0.108	332.37	47.06	14.12	0.259
43.5	50.0	0.0	0.106	41.0	50.0	0.0	0.106
3233.65	50.0	50.0	0.5	1244.77	50.62	50.12	0.503
4024.7	0.0	0.0	0.003	4024.35	0.0	0.0	0.003
182.88	34.49	1.57	0.097	67.63	56.97	21.43	0.329
36.6	41.27	0.0	0.09	12.48	78.57	31.75	0.466
335.43	46.3	22.22	0.302	302.44	48.15	27.78	0.352
19.19	61.54	23.08	0.374	19.19	61.54	23.08	0.374
210.51	38.33	1.11	0.122	164.45	45.0	11.11	0.209
140.56	47.5	16.25	0.282	66.34	56.88	28.13	0.373
154.85	12.31	0.31	0.044	115.09	37.23	7.94	0.168
834.23	13.02	1.45	0.053	822.22	14.79	3.22	0.072
10.0	57.69	23.08	0.364	10.0	57.69	23.08	0.364
29.45	9.09	0.0	0.066	21.09	31.82	0.0	0.111
809.38	26.47	1.47	0.102	804.12	27.94	5.88	0.141
247.3	50.0	30.0	0.386	131.9	50.0	30.0	0.389
74.21	50.0	26.19	0.382	40.62	54.76	42.86	0.483
636.0	50.0	50.0	0.5	485.0	50.0	50.0	0.501
584.25	50.0	50.0	0.502	524.0	54.17	54.17	0.546
816.73	5.02	0.12	0.02	809.19	10.05	2.09	0.051
481.31	50.0	43.75	0.471	425.97	53.13	50.0	0.52
627.21	31.58	5.26	0.13	623.74	39.47	5.26	0.137
282.74	41.18	17.65	0.248	277.94	41.18	17.65	0.262
164.38	38.46	15.38	0.252	158.04	46.15	15.38	0.258
531.63	43.13	17.18	0.262	224.95	46.56	29.01	0.352
91.68	51.32	18.42	0.3	46.59	78.95	39.47	0.532
81.0	50.0	50.0	0.503	16.4	60.0	55.0	0.571
20.31	56.25	12.5	0.239	15.94	62.5	31.25	0.432
279.12	38.46	11.54	0.204	273.04	46.15	11.54	0.215
526.62	50.33	48.34	0.493	57.85	55.63	49.67	0.522
406.31	35.62	2.74	0.147	397.34	53.42	12.33	0.243
